,BBANDS-0,BBANDS-1,BBANDS-2,DEMA-0,EMA-0,HT_TRENDLINE-0,KAMA-0,MA-0,MAMA-0,MAMA-1,MIDPOINT-0,SMA-0,T3-0,TEMA-0,TRIMA-0,WMA-0,APO-0,CMO-0,MACD-0,MACD-1,MACD-2,MACDEXT-0,MACDEXT-1,MACDEXT-2,MACDFIX-0,MACDFIX-1,MACDFIX-2,MOM-0,PPO-0,ROC-0,ROCP-0,ROCR-0,ROCR100-0,RSI-0,STOCHRSI-0,STOCHRSI-1,TRIX-0,HT_DCPERIOD-0,HT_DCPHASE-0,HT_PHASOR-0,HT_PHASOR-1,HT_SINE-0,HT_SINE-1,HT_TRENDMODE-0,LINEARREG-0,LINEARREG_ANGLE-0,LINEARREG_INTERCEPT-0,LINEARREG_SLOPE-0,STDDEV-0,TSF-0,VAR-0,MIDPRICE-0,SAR-0,SAREXT-0,AROON-0,AROON-1,AROONOSC-0,MINUS_DM-0,PLUS_DM-0,MEDPRICE-0,ADX-0,ADXR-0,CCI-0,DX-0,MINUS_DI-0,PLUS_DI-0,STOCH-0,STOCH-1,STOCHF-0,STOCHF-1,ULTOSC-0,WILLR-0,TYPPRICE-0,WCLPRICE-0,ATR-0,NATR-0,TRANGE-0,BOP-0,AVGPRICE-0
856,53793.851469537374,53686.59999999979,53579.3485304622,53688.019211502375,53912.20633422095,53990.81376946656,53959.69594460995,53983.49399999998,53694.32844078275,53788.22938224349,53748.69,53983.49399999998,53699.59579363634,53589.161106261854,53938.44708333332,53829.104559140564,-215.0323076923305,-19.080223411166788,-135.53512036830944,-144.49433155867936,8.959211190369928,-215.03230769230868,-270.9124430199477,55.88013532763904,-129.54079317622381,-137.8607716146887,8.319978438464886,52.98999999999796,-0.3988100155809707,0.0988508195812976,0.0009885081958130077,1.000988508195813,100.0988508195813,40.45988829441661,61.886168786498494,54.9623491159713,-0.01592651971212833,29.876259622394528,19.36384642721675,150.2557231112828,32.574820605293866,0.3315658933545297,0.901559701262404,1,53690.38885714289,-78.62543497810849,53755.00971428568,-4.970835164830299,53.62573476879315,53685.41802197806,2875.7194294929504,53710.89,53540.06,53540.06,35.714285714285715,64.28571428571429,28.571428571428573,550.547502389117,396.3858619062756,53676.5,30.1798441922354,28.85409480298931,-55.04941442553923,16.280093858299324,24.375052412274776,17.549668498216718,41.30569868705572,34.620936119776616,33.29042368612466,41.30569868705572,52.622048435759815,-62.782788703238886,53670.67333333333,53667.759999999995,161.3322545284845,0.3006619474759034,109.16000000000349,-0.5862037376328618,53683.7575
857,53750.40789244856,53660.47399999979,53570.54010755102,53666.56452003727,53893.64850620669,53977.47124061304,53943.26619909204,53960.49233333331,53690.84001874361,53785.79464815599,53748.69,53960.49233333331,53683.89496399526,53571.37438803566,53905.275124999986,53805.9475268825,-181.469551282069,-21.3394334542538,-135.01164072353276,-142.59779339165004,7.586152668117279,-181.46955128205445,-259.1956196581232,77.72606837606872,-129.0037431381861,-136.08936591938817,7.085622781202062,-97.15000000000146,-0.3367680155640906,-0.1808393664311958,-0.001808393664311904,0.998191606335688,99.8191606335688,39.3302832728731,41.46341919452428,53.71793620012841,-0.01676343370399236,29.970759565697698,24.734656542041606,96.31744119015163,-475.0536266037468,0.4184165273625814,0.9380986142603439,1,53681.39457142861,-76.05341315188952,53733.74257142857,-4.026769230766236,44.96694622438333,53677.36780219784,2022.026252746582,53710.89,53547.5344,53547.5344,28.571428571428573,57.142857142857146,28.571428571428573,511.22268078989435,410.46258605582676,53698.985,28.805009503740685,29.20965951977209,-44.75807182611268,10.93215855330945,22.75854133174848,18.272917225531206,36.41625195505676,36.5654487290252,27.00457000415425,36.41625195505676,43.47991041726324,-71.27507516388239,53674.176666666666,53661.7725,160.44923634787853,0.2992084901915811,148.97000000000116,-0.23138887024233667,53670.39
858,53743.69069112568,53676.92999999978,53610.16930887388,53654.819032417814,53880.01053806433,53958.941975862064,53929.52717284703,53936.56799999998,53686.55000937181,53760.98348845995,53748.69,53936.56799999998,53672.54205068768,53567.54058426034,53874.09095833333,53787.99705376422,-145.87551282053755,-15.523524634647497,-128.46006389958347,-139.77024749323672,11.31018359365325,-145.87551282051572,-241.72722222222444,95.85170940170872,-122.80269543547911,-133.43203182260635,10.629336387127239,-84.97999999999593,-0.27086020709679587,-0.15805163143950418,-0.0015805163143950839,0.998419483685605,99.8419483685605,42.23823768267626,89.81478619539519,64.38812472547268,-0.0175314007534344,29.543519449383073,30.063432479233274,-112.76792790623435,-447.38412634309503,0.5009584749710027,0.9662117742894232,1,53693.80542857141,-21.006789430874644,53698.79742857144,-0.3840000000020586,33.38034556295124,53693.42142857141,1114.2474699020386,53710.89,53913.78,-53913.78,21.42857142857143,50.0,28.571428571428573,548.1667750191867,381.143829908982,53625.520000000004,28.03127878316449,29.86334732528899,-74.8629286788927,17.972779415673926,24.528671793019523,17.054940824249424,35.246456889228504,37.65613584378031,45.444376977406534,35.246456889228504,42.19740272608003,-57.05554734092302,53644.43333333334,53653.89,159.62857660874428,0.2973581525977935,148.95999999999913,0.3873523093448221,53639.465000000004
859,53736.05159530731,53672.00799999978,53607.964404692255,53643.27211127563,53866.538245285985,53928.08792183908,53914.4038571811,53911.07266666664,53685.78200890322,53759.10345147103,53748.69,53911.07266666664,53665.75133776845,53563.42568485247,53844.55174999999,53770.8758924739,-122.62512820515258,-16.351901932144298,-122.7462066853841,-136.3654393316662,13.619232646282114,-122.62512820513075,-221.14456552706622,98.51943732193547,-117.375841355577,-130.22079372920047,12.844952373623471,20.25,-0.22780527701389022,0.03774397988181022,0.00037743979881806354,1.000377439798818,100.03774397988181,41.82404903392785,77.02219742354576,69.43346760448844,-0.01823459861755028,28.741291952901335,38.17347794828868,-161.74352596083054,-7.896881208673711,0.6180445582183184,0.9929105928685502,1,53675.8894285714,-75.05259822645141,53724.584857142865,-3.745802197805379,32.0217976537645,53672.14362637359,1025.3955249786377,53710.89,53906.5252,-53906.5252,14.285714285714286,42.85714285714286,28.571428571428573,509.9620053749635,353.919270629769,53616.17999999999,27.31925771136107,30.562585028518086,-78.54089930751164,18.062983777916685,23.102890786493337,16.033661665799777,37.47725948865948,36.3799894443149,39.98283148441758,37.47725948865948,50.28340402562844,-59.78362659569155,53634.51666666666,53643.685,157.667963993834,0.29376647693824937,132.1800000000003,-0.08374943259191772,53646.4525
860,53699.02978217196,53660.13599999979,53621.24221782762,53632.341737575654,53853.44868107398,53888.01964614121,53898.147177313826,53884.07333333331,53684.67540845805,53757.24275039571,53748.69,53884.07333333331,53661.65654477995,53559.66658140071,53817.694249999986,53754.91313978573,-105.62839743591758,-16.949273088417133,-117.47220223909972,-132.58679191315292,15.114589674053207,-105.62839743589575,-200.94309116809097,95.31469373219522,-112.35399912000139,-126.64743480736065,14.293435687359263,-85.33999999999651,-0.19632329013696426,-0.15877507651771428,-0.001587750765177104,0.9984122492348229,99.84122492348229,41.52536345579143,75.4853712808694,80.77411829993682,-0.018875283850761093,27.817385675924804,44.46653591606366,-82.12342665133819,113.25152755073891,0.7004925648261218,0.9999566557020655,1,53653.02314285717,-82.78291691119695,53755.68257142855,-7.896879120875191,19.446891086086833,53645.126263736296,378.18157291412354,53710.89,53892.267792,-53892.267792,7.142857142857143,35.714285714285715,28.571428571428573,473.5361478481804,370.84932272764905,53689.925,26.236534390898008,30.44997396491192,-25.896006696602353,12.161131224878126,22.3493294988072,17.50285325779817,45.42144899006558,39.381721789317844,50.83713850837254,45.42144899006558,52.63404113919397,-61.64177633200209,53681.166666666664,53676.787500000006,151.34239513713163,0.28202031568320757,69.11000000000058,-0.10924612935892881,53678.675
861,53700.57755008677,53654.0039999998,53607.43044991283,53618.49989446224,53838.92683068211,53843.58363023171,53879.6544717189,53855.72399999997,53656.51770422903,53732.061488854044,53748.69,53855.72399999997,53655.230991270626,53551.14959388164,53794.50287499999,53738.41550537713,-78.9627564102775,-19.834889310635376,-114.81658961321955,-129.03275145316624,14.216161839946693,-78.96275641026295,-178.61203703703762,99.64928062677467,-109.78834317217843,-123.2756164803242,13.487273308145774,-269.0400000000009,-0.1468398475649384,-0.49917064645047526,-0.004991706464504798,0.9950082935354952,99.50082935354952,40.08255534468231,25.869458932134084,59.45900921218311,-0.019469619543899253,26.678469605878355,49.12093337815924,-64.23572775818481,51.37344461670756,0.7560926324432533,0.9974145943127949,1,53635.96171428573,-83.98841234215195,53759.408285714286,-9.495890109888988,23.286775043483626,53626.46582417584,542.2738919258118,53709.85,53878.580680319996,-53878.580680319996,100.0,28.571428571428573,-71.42857142857143,589.1621372876004,344.36008538995986,53589.565,26.23560222928109,30.634966547709304,-117.45780648563633,26.223484128261138,27.598762544836337,16.131233874517832,45.52779290048105,42.808833793068686,45.76340870865296,45.52779290048105,50.12286032268308,-69.97989506203056,53602.496666666666,53608.9625,152.48150977019372,0.28432998840574975,167.29000000000087,-0.21095104309881457,53617.784999999996
862,53744.229006201465,53635.80399999979,53527.37899379812,53594.589853217476,53819.22574483165,53791.042375062956,53854.28657689306,53825.424666666644,53650.36981901758,53730.01919710813,53715.479999999996,53825.424666666644,53636.16128836421,53527.647323434496,53774.164249999994,53717.630731183584,-73.10294871798396,-27.156816607194145,-118.98992342926067,-127.02418584838513,8.03426241912446,-73.10294871796214,-155.91516381766672,82.81221509970459,-113.64597732251423,-121.34968864876221,7.7037113262479835,-221.63000000000466,-0.13600312113840052,-0.4122950732757258,-0.00412295073275724,0.9958770492672427,99.58770492672427,36.421591696402935,0.0,33.78494340433453,-0.020060720730397108,25.38470163954866,45.55910613810765,-64.02374728062898,78.6593942809772,0.713973125205084,0.9999523887248006,1,53603.69457142863,-85.19335986169564,53758.29257142853,-11.892153846146174,54.21250310083776,53591.80241758248,2938.9954924583435,53608.729999999996,53856.22103950079,-53856.22103950079,100.0,21.42857142857143,-78.57142857142857,749.3191274813412,319.76293643353415,53466.020000000004,27.23162407888147,31.305189088714926,-214.33225637427125,40.17990812368639,32.48108960925466,13.860914810658764,50.409941594521506,47.11972782835603,54.62927756653892,50.409941594521506,56.279023269410345,-62.3209309949192,53488.53333333333,53499.79,164.78140192946563,0.30780953467220495,324.6800000000003,-0.29197979549095365,53523.490000000005
863,53813.088663316536,53655.1579999998,53497.22733668306,53604.0632516569,53816.63247097155,53751.75568656084,53851.48543276792,53805.22033333332,53656.8028280667,53728.18878788209,53715.479999999996,53805.22033333332,53638.365387359256,53552.72777207562,53756.87820833332,53714.637526882514,-69.33442307695805,-1.3450691340957392,-101.32196646542434,-121.88374197179297,20.561775506368633,-69.33442307693622,-135.92364672365107,66.58922364671486,-96.99027492834284,-116.47780590467833,19.487530976335492,179.04999999999563,-0.12902475672524066,0.3340486321076863,0.003340486321076904,1.0033404863210769,100.33404863210768,49.32746543295213,99.99999999999999,41.95648631071139,-0.02051522001136341,24.022208719869496,33.86933998218692,-30.963264629776678,89.35538662683037,0.5573008744158885,0.9811895014801726,1,53624.61057142863,-84.33548825424457,53755.675142857115,-10.081890109883185,78.96533165836871,53614.52868131875,6235.523603916168,53608.729999999996,53303.68,53303.68,92.85714285714286,14.285714285714286,-78.57142857142857,695.7963326612454,581.3927266882829,53723.19,25.92632612376246,30.879839105699254,64.86254137334974,8.957452707215346,27.59521632295105,23.057980199738303,59.47588434404933,51.804539613017276,78.034966756956,59.47588434404933,59.685061414701515,-22.086543189641095,53741.80333333334,53751.11,180.10273036307515,0.334893973288613,379.27999999999884,0.6472263235604215,53689.740000000005
864,53844.286948955145,53670.0059999998,53495.72505104445,53608.88634747471,53812.03876316693,53722.87722525765,53847.684637378916,53785.73433333331,53701.11641403335,53721.4206944199,53715.479999999996,53785.73433333331,53655.63985734485,53569.672102222896,53742.56054166666,53710.78008602229,-58.43391025644087,-4.211341073716929,-89.00522563659615,-115.30803870475361,26.302813068157462,-58.433910256426316,-116.71832621083256,58.28441595440624,-85.32358832797763,-110.2469623893382,24.923374061360562,49.62999999999738,-0.10876364940440772,0.09242808562308635,0.0009242808562307923,1.0009242808562309,100.09242808562308,47.89432946314154,88.89547504442122,62.96515834814043,-0.02086360928881259,22.73925917040183,11.418260713381073,-6.462609300629177,17.13498092476833,0.1979697521420019,0.83309756958875,1,53647.23400000002,-81.33552878430262,53732.54314285714,-6.562241758240074,87.14047447767523,53640.67175824178,7593.4622921943665,53608.729999999996,53303.68,53303.68,85.71428571428572,7.142857142857143,-78.57142857142857,646.0965946140136,539.864674781977,53778.46,24.714263736866236,29.519284128757715,80.68799540219382,8.95745270721534,26.431537355642053,22.085634620959624,68.39444276432017,59.42675623429699,72.51908396946548,68.39444276432017,60.8211361207849,-27.593837075889024,53767.450000000004,53761.945,174.60110676571276,0.32486688964198956,103.08000000000175,-0.3259604190919478,53770.345
865,53902.82992377869,53698.3699999998,53493.910076220905,53621.17271396054,53811.614971994866,53707.922845546775,53846.25031842248,53766.896999999975,53753.29320701667,53729.38882256909,53669.515,53766.896999999975,53686.04699212138,53596.37856750172,53731.30766666667,53712.0533548395,-38.63512820516189,1.3065487093548287,-73.55153723069088,-106.95673840994107,33.405201179250184,-38.63512820514006,-97.11863960114715,58.48351139600709,-70.68776561974664,-102.33512303541988,31.64735741567324,82.45999999999913,-0.07191554909400388,0.15349102740147558,0.0015349102740147866,1.0015349102740148,100.15349102740147,50.653274354677414,100.0,96.29849168147376,-0.02108562435769734,21.63413424077018,11.643876245051672,-15.897878841291364,9.881907447726716,0.20182800608724435,0.835269168294008,1,53706.59942857148,74.39802472575205,53660.04485714283,3.581120879127055,102.229961889447,53710.180549450604,10450.965107917786,53608.255000000005,53315.863,53315.863,78.57142857142857,0.0,-78.57142857142857,696.2868378558663,501.30291229755005,53760.265,24.11191363106093,28.548526563119115,103.68321642074348,16.281362255591954,27.5300939374792,19.820734094560443,77.64316397165432,68.50449702667458,82.37544118854136,77.64316397165432,59.39172772758037,-17.624558811458645,53775.333333333336,53782.8675,180.65602771101865,0.3357577356187366,259.36999999999534,0.23144542545398433,53767.86
